Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015
Period Ending,"Jul '24 Jul 28, 2024","Jan '24 Jan 28, 2024","Jan '23 Jan 29, 2023","Jan '22 Jan 30, 2022","Jan '21 Jan 31, 2021","Jan '20 Jan 26, 2020",2019 - 2015
Revenue,96307,60922,26974,26914,16675,10918,Upgrade
Revenue Growth (YoY),194.69%,125.85%,0.22%,61.40%,52.73%,-6.81%,Upgrade
Cost of Revenue,23137,16621,11618,9439,6118,4150,Upgrade
Gross Profit,73170,44301,15356,17475,10557,6768,Upgrade
"Selling, General & Admin",3019,2654,2440,2166,1912,1093,Upgrade
Research & Development,10569,8675,7339,5268,3924,2829,Upgrade
Operating Expenses,13588,11329,9779,7434,5836,3922,Upgrade
Operating Income,59582,32972,5577,10041,4721,2846,Upgrade
Interest Expense,-251,-257,-262,-236,-184,-52,Upgrade
Interest & Investment Income,1331,866,267,29,57,178,Upgrade
Currency Exchange Gain (Loss),-,-,-,-,-,-1,Upgrade
Other Non Operating Income (Expenses),2,-1,-3,7,4,-,Upgrade
EBT Excluding Unusual Items,60664,33580,5579,9841,4598,2971,Upgrade
Merger & Restructuring Charges,-,-,-,-,-189,-,Upgrade
Gain (Loss) on Sale of Investments,457,238,-45,100,-,-1,Upgrade
Other Unusual Items,-,-,-1353,-,-,-,Upgrade
Pretax Income,61121,33818,4181,9941,4409,2970,Upgrade
Income Tax Expense,8113,4058,-187,189,77,174,Upgrade
Net Income,53008,29760,4368,9752,4332,2796,Upgrade
Net Income to Common,53008,29760,4368,9752,4332,2796,Upgrade
Net Income Growth,413.34%,581.32%,-55.21%,125.12%,54.94%,-32.48%,Upgrade
Shares Outstanding (Basic),24632,24690,24870,24960,24670,24390,Upgrade
Shares Outstanding (Diluted),24901,24940,25070,25350,25100,24720,Upgrade
Shares Change (YoY),-0.05%,-0.52%,-1.10%,1.00%,1.54%,-1.12%,Upgrade
EPS (Basic),2.15,1.21,0.18,0.39,0.18,0.11,Upgrade
EPS (Diluted),2.13,1.19,0.17,0.39,0.17,0.11,Upgrade
EPS Growth,414.77%,585.63%,-54.81%,122.54%,53.10%,-31.85%,Upgrade
Free Cash Flow,46786,27021,3808,8132,4694,4272,Upgrade
Free Cash Flow Per Share,1.88,1.08,0.15,0.32,0.19,0.17,Upgrade
Dividend Per Share,0.022,0.016,0.016,0.016,0.016,0.016,Upgrade
Dividend Growth,37.50%,0%,0%,0%,0%,4.58%,Upgrade
Gross Margin,75.98%,72.72%,56.93%,64.93%,63.31%,61.99%,Upgrade
Operating Margin,61.87%,54.12%,20.68%,37.31%,28.31%,26.07%,Upgrade
Profit Margin,55.04%,48.85%,16.19%,36.23%,25.98%,25.61%,Upgrade
Free Cash Flow Margin,48.58%,44.35%,14.12%,30.21%,28.15%,39.13%,Upgrade
EBITDA,61184,34480,7121,11215,5819,3227,Upgrade
EBITDA Margin,63.53%,56.60%,26.40%,41.67%,34.90%,29.56%,Upgrade
D&A For EBITDA,1602,1508,1544,1174,1098,381,Upgrade
EBIT,59582,32972,5577,10041,4721,2846,Upgrade
EBIT Margin,61.87%,54.12%,20.68%,37.31%,28.31%,26.07%,Upgrade
Effective Tax Rate,13.27%,12.00%,-,1.90%,1.75%,5.86%,Upgrade
